V_d;V_s;Multiplication_S;A_led
0.499236170202494;0.297377559356391;0.14846163383725;
0.500542698428035;0.296724295243621;0.148523179430399;
0.50021606637165;0.297704191412777;0.148916419570852;
0.500542698428035;0.297377559356391;0.148850166012191;
0.499562802258879;0.297050927300006;0.14839559365559;
0.50021606637165;0.297377559356391;0.148753032968456;
0.499889434315264;0.297704191412777;0.148819179838616;
0.500542698428035;0.297704191412777;0.149013659303087;
0.499562802258879;0.297377559356391;0.148558766880985;
0.50021606637165;0.296724295243621;0.148426259763664;
0.500542698428035;0.296724295243621;0.148523179430399;
0.499889434315264;0.297377559356391;0.14865589992472;
0.499889434315264;0.297050927300006;0.148492620010825;
0.499889434315264;0.298030823469162;0.148982459752512;
0.500542698428035;0.297377559356391;0.148850166012191;
0.499889434315264;0.296724295243621;0.148329340096929;
0.500542698428035;0.296724295243621;0.148523179430399;
0.50021606637165;0.297050927300006;0.14858964636606;
0.500542698428035;0.297377559356391;0.148850166012191;
0.50021606637165;0.297050927300006;0.14858964636606;
0.499236170202494;0.297050927300006;0.148298567300354;
0.501195962540805;0.297704191412777;0.149208138767559;
0.500542698428035;0.297050927300006;0.148686672721295;
0.50086933048442;0.297050927300006;0.14878369907653;
0.499562802258879;0.298357455525547;0.149048286557171;
0.50021606637165;0.297050927300006;0.14858964636606;
0.499889434315264;0.297377559356391;0.14865589992472;
0.500542698428035;0.297704191412777;0.149013659303087;
0.499889434315264;0.297377559356391;0.14865589992472;
0.50086933048442;0.297050927300006;0.14878369907653;
0.50086933048442;0.297050927300006;0.14878369907653;
0.50086933048442;0.297377559356391;0.148947299055927;
0.50021606637165;0.296397663187236;0.148262873161268;
-0.50091118644923;0.297050927300006;-0.14879613242969;
-0.50091118644923;0.297377559356391;-0.148959746080586;
-0.501564450562;0.297050927300006;-0.14899018514016;
-0.500584554392844;0.297377559356391;-0.148862613036851;
-0.500257922336459;0.297050927300006;-0.14860207971922;
-0.501564450562;0.297377559356391;-0.149154012168057;
-0.500584554392844;0.298684087581933;-0.149516640886435;
-0.501564450562;0.297704191412777;-0.149317839195954;
-0.500584554392844;0.297377559356391;-0.148862613036851;
-0.501564450562;0.297377559356391;-0.149154012168057;
-0.501237818505615;0.298030823469162;-0.149384319803115;
-0.50091118644923;0.296724295243621;-0.148632518778794;
-0.50091118644923;0.296724295243621;-0.148632518778794;
-0.500257922336459;0.296397663187236;-0.148275279171428;
-0.50091118644923;0.297704191412777;-0.149123359731483;
-0.50091118644923;0.298030823469162;-0.149286973382379;
-0.500584554392844;0.297377559356391;-0.148862613036851;
-0.500584554392844;0.297377559356391;-0.148862613036851;
-0.500584554392844;0.297377559356391;-0.148862613036851;
-0.500584554392844;0.297050927300006;-0.148699106074455;
-0.50091118644923;0.297050927300006;-0.14879613242969;
-0.501237818505615;0.297050927300006;-0.148893158784925;
-0.50091118644923;0.297377559356391;-0.148959746080586;
-0.501564450562;0.297377559356391;-0.149154012168057;
-0.500584554392844;0.297050927300006;-0.148699106074455;
-0.501237818505615;0.297377559356391;-0.149056879124322;
-0.501237818505615;0.297050927300006;-0.148893158784925;
-0.500257922336459;0.296724295243621;-0.148438679445324;
-0.500584554392844;0.297704191412777;-0.149026119999247;
-0.500257922336459;0.297377559356391;-0.148765479993115;
-0.50091118644923;0.297050927300006;-0.14879613242969;
-0.501237818505615;0.296724295243621;-0.148729438445529;
-0.500584554392844;0.296724295243621;-0.148535599112059;
