#FullRangeData
#FrequencySweepPeakPosition=301524.926686217
#FrequencySweepOffsetPosition=301524.926686217
#MeanAmplitude=0.013536756503991415
#ZoomedData
#FrequencySweepPeakPosition=300345.3079178886
#FrequencySweepOffsetPosition=300201.6129032259
#FullWidthHalfMax=1.1338424841154253
#QFactor=264.8915630923858
#MeasuredAmplitude=1.506322099978637
#AppliedAmplitude=0.05737392233157854
#RootMeanSquareError=0.029987787210429797
#MeanAbsoluteError=0.01968697719404465
#ValidationData
#CheckMaxAmplitudeNoiseLevelRatio=False
#MaxAmplitudeNoiseLevelRatioThreshold=5
#CheckFullWidthHalfMax=False
#FullWidthHalfMaxThreshold=2
#CheckRootMeanSquareError=False
#RootMeanSquareErrorThreshold=0.1
#Frequency[kHz],RawAmplitude[V],RawLateralAmplitude[V],RawPhase[rad],Amplitude[V],LateralAmplitude[V],Phase[rad],ZoomedFrequency[kHz],ZoomedRawAmplitude[V],ZoomedRawLateralAmplitude[V],ZoomedRawPhase[rad],ZoomedAmplitude[V],ZoomedLateralAmplitude[V],ZoomedPhase[rad],Fitted Amplitude[V]
20,0,0.00015259021896696422,0.003814813684499649,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.8555718475074,0.22644734031189917,0.020752269779507133,-1.369823297830134,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.2233015502346804
20.469208211143695,0.0006103701895199438,0.00015259021896696422,0.011444441053498948,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.85850439882705,0.29175695059053314,0.025024795910582133,-1.2341685232093265,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.22404369131310659
20.938416422287393,0.0024414807580797754,0.0012207217517357137,-0.032578508865627,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.8614369501467,0.22400585955381938,0.018005645838101776,-1.3569292275765252,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.22478773327395854
21.407624633431084,0.0024414807580797754,0,-0.023728141117587816,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.86436950146634,0.26276436658833585,0.018616006713969634,-1.3282418286690878,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.22553368925522163
21.87683284457478,0.0006103701895199438,0.00045777065690089265,-0.04394665364543596,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.867302052786,0.24933622241889705,0.015716792553597314,-1.3456373790704061,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.22628157250478048
22.346041055718473,0.0003051850947599719,0.00015259021896696422,0.003814813684499649,0.000809731280598656,0.00036722424951431403,-0.01130383980874758,298.87023460410563,0.2575762199774163,0.01617456321049821,-1.336176641132847,0.25520219408654116,0.02038506732169257,-1.3256732648323635,0.22703139638147996
22.81524926686217,0,0.00015259021896696422,-0.015945921201208534,0.0007980147470726246,0.0003656021890808399,-0.011047520030182948,298.8731671554253,0.26001770073549607,0.01907377737087053,-1.326029236732078,0.25537875692194273,0.02040430560270991,-1.3256804201987866,0.22778317435619777
23.284457478005866,0.0024414807580797754,0.00015259021896696422,-0.005722220526749474,0.0007839162496710922,0.0003634827094139698,-0.01074525127782902,298.87609970674487,0.25513473921933655,0.020904859998474096,-1.3216040528580584,0.2556002321883811,0.02042820067521705,-1.3256808304574812,0.22853692001291376
23.75366568914956,0,0.00045777065690089265,-0.04852443006683554,0.0007675722254656868,0.0003608298068358579,-0.010402021558377352,298.87903225806457,0.25482955412457653,0.023041123064011598,-1.3120670186468093,0.2558699606991518,0.020456922135485937,-1.325669543132243,0.22929264704987856
24.222873900293255,0,0.00030518043793392844,-0.02143925290688803,0.0007491930149418344,0.0003576235845771684,-0.010024133032813584,298.8819648093842,0.25177770317697684,0.023346303501945526,-1.314508499404889,0.25619049685942924,0.02049070969221381,-1.3256412518632132,0.23005036928057487
