time;V(Net-_C3-Pad1_);
0.0028424;-5.97887;
0.0028624;-5.97877;
0.0028824;-5.97866;
0.0029024;-5.97855;
0.0029224;-5.97844;
0.0029424;-5.97833;
0.0029624;-5.97822;
0.0029824;-5.9781;
0.003;-5.978;
0.0030001;-5.978;
0.0030003;-5.978;
0.0030007;-5.978;
0.003001;-5.978;
0.00300108;-5.97799;
0.00300124;-5.97799;
0.00300156;-5.97799;
0.0030022;-5.97799;
0.00300348;-5.97798;
0.00300604;-5.97797;
0.00301116;-5.97794;
0.0030214;-5.97788;
0.0030414;-5.97776;
0.0030614;-5.97764;
0.0030814;-5.97752;
0.0031014;-5.9774;
0.0031214;-5.97727;
0.0031414;-5.97715;
0.0031614;-5.97702;
0.0031814;-5.9769;
0.0032014;-5.97677;
0.0032214;-5.97664;
0.0032414;-5.97651;
0.0032614;-5.97638;
0.0032814;-5.97624;
0.0033014;-5.97611;
0.0033214;-5.97597;
0.0033414;-5.97584;
0.0033614;-5.9757;
0.0033814;-5.97556;
0.0034014;-5.97542;
0.0034214;-5.97528;
0.0034414;-5.97513;
0.0034614;-5.97499;
0.0034814;-5.97484;
0.003501;-5.9747;
0.0035011;-5.9747;
0.0035013;-5.9747;
0.0035017;-5.97469;
0.003502;-5.97469;
0.00350208;-5.97469;
0.00350224;-5.97469;
0.00350256;-5.97469;
0.0035032;-5.97468;
0.00350448;-5.97467;
0.00350704;-5.97466;
0.00351216;-5.97462;
0.0035224;-5.97454;
0.0035424;-5.97439;
0.0035624;-5.97424;
0.0035824;-5.97409;
0.0036024;-5.97394;
0.0036224;-5.97378;
0.0036424;-5.97363;
0.0036624;-5.97347;
0.0036824;-5.97331;
0.0037024;-5.97315;
0.0037224;-5.97299;
0.0037424;-5.97283;
0.0037624;-5.97266;
0.0037824;-5.9725;
0.0038024;-5.97233;
0.0038224;-5.97217;
0.0038424;-5.972;
0.0038624;-5.97183;
0.0038824;-5.97166;
0.0039024;-5.97149;
0.0039224;-5.97131;
0.0039424;-5.97114;
0.0039624;-5.97096;
0.0039824;-5.97079;
0.004;-5.97063;
0.0040001;-5.97063;
0.0040003;-5.97063;
0.0040007;-5.97062;
0.004001;-5.97062;
0.00400108;-5.97062;
0.00400124;-5.97062;
0.00400156;-5.97061;
0.0040022;-5.97061;
0.00400348;-5.9706;
0.00400604;-5.97057;
0.00401116;-5.97053;
0.0040214;-5.97044;
0.0040414;-5.97026;
0.0040614;-5.97007;
0.0040814;-5.96989;
0.0041014;-5.96971;
0.0041214;-5.96952;
0.0041414;-5.96933;
0.0041614;-5.96915;
0.0041814;-5.96896;
0.0042014;-5.96877;
0.0042214;-5.96857;
0.0042414;-5.96838;
0.0042614;-5.96819;
0.0042814;-5.96799;
0.0043014;-5.96779;
0.0043214;-5.9676;
0.0043414;-5.9674;
0.0043614;-5.9672;
0.0043814;-5.967;
0.0044014;-5.96679;
0.0044214;-5.96659;
